Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returned
1.0,CA-2019-152156,2019-11-08,2019-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2.0,41.9136,
2.0,CA-2019-152156,2019-11-08,2019-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.9399999999999,3.0,219.58199999999997,
3.0,CA-2019-138688,2019-06-12,2019-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.0,6.8713999999999995,
13.0,CA-2020-114412,2020-04-15,2020-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552000000000003,3.0,5.4432,
14.0,CA-2019-161389,2019-12-05,2019-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.97600000000006,3.0,132.5921999999999,
22.0,CA-2019-137330,2019-12-09,2019-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.459999999999997,7.0,5.0596,
23.0,CA-2019-137330,2019-12-09,2019-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7.0,15.6884,
24.0,US-2020-156909,2020-07-16,2020-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37199999999999,2.0,-1.0196000000000005,
26.0,CA-2019-121755,2019-01-16,2019-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2.0,4.2224,
27.0,CA-2019-121755,2019-01-16,2019-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3.0,11.774100000000004,
35.0,CA-2020-107727,2020-10-19,2020-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3.0,9.946799999999998,
36.0,CA-2019-117590,2019-12-08,2019-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.5440000000003,7.0,123.4736999999999,
37.0,CA-2019-117590,2019-12-08,2019-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5.0,-147.96300000000002,
42.0,CA-2020-120999,2020-09-10,2020-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4.0,16.556399999999996,
43.0,CA-2019-101343,2019-07-17,2019-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.0,3.8939999999999912,
44.0,CA-2020-139619,2020-09-19,2020-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2.0,9.56160000000001,
45.0,CA-2019-118255,2019-03-11,2019-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2.0,19.7714,
46.0,CA-2019-118255,2019-03-11,2019-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.0,8.206199999999999,
48.0,CA-2019-169194,2019-06-20,2019-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3.0,4.950000000000001,
49.0,CA-2019-169194,2019-06-20,2019-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2.0,6.104000000000001,
54.0,CA-2019-105816,2019-12-11,2019-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.260000000000002,7.0,6.256600000000001,
55.0,CA-2019-105816,2019-12-11,2019-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5.0,298.6855,
56.0,CA-2019-111682,2019-06-17,2019-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6.0,52.139999999999986,
57.0,CA-2019-111682,2019-06-17,2019-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.400000000000006,5.0,15.552,
58.0,CA-2019-111682,2019-06-17,2019-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5.0,7.098000000000006,
59.0,CA-2019-111682,2019-06-17,2019-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2.0,6.9888,
60.0,CA-2019-111682,2019-06-17,2019-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2.0,3.3000000000000007,
61.0,CA-2019-111682,2019-06-17,2019-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4.0,16.362,
62.0,CA-2019-111682,2019-06-17,2019-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.0,0.84,
70.0,CA-2019-119823,2019-06-04,2019-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.0,35.663599999999995,
71.0,CA-2019-106075,2019-09-18,2019-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1.0,1.731,
72.0,CA-2020-114440,2020-09-14,2020-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.049999999999997,3.0,8.763,
76.0,US-2020-118038,2020-12-09,2020-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.2479999999999998,3.0,-1.9344000000000008,
77.0,US-2020-118038,2020-12-09,2020-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3.0,-5.8248000000000015,
78.0,US-2020-118038,2020-12-09,2020-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3.0,2.724000000000002,
80.0,CA-2019-127208,2019-06-12,2019-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1.0,56.20320000000001,
81.0,CA-2019-127208,2019-06-12,2019-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.740000000000002,3.0,8.0352,
85.0,US-2020-119662,2020-11-13,2020-11-16,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3.0,-48.9549,
86.0,CA-2020-140088,2020-05-28,2020-05-30,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2.0,33.215599999999995,
87.0,CA-2020-155558,2020-10-26,2020-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1.0,6.796599999999998,
88.0,CA-2020-155558,2020-10-26,2020-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2.0,2.9568,
89.0,CA-2019-159695,2019-04-05,2019-04-10,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.36800000000002,7.0,13.8572,
90.0,CA-2019-109806,2019-09-17,2019-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3.0,6.632999999999998,
91.0,CA-2019-109806,2019-09-17,2019-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2.0,8.278199999999998,
92.0,CA-2019-109806,2019-09-17,2019-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1.0,3.1104000000000003,
